Payment_type,Credit_type,Invoice_amount,Customer_visit,Customer_Saisfaction
COD,Offerings,198316,8,9
Cash,NPL,121685,7,8
Cash,Contract,138057,5,8
Cash,Contract,115500,6,7
COD,Offerings,116741,8,7
COD,NPL,177177,3,9
COD,Offerings,171341,9,7
Cash,Offerings,54559,6,9
GPay,NPL,194060,8,7
COD,NPL,173403,3,8
Cash,NPL,84523,9,7
GPay,NPL,76216,8,7
GPay,Offerings,109331,7,9
Cash,Contract,161308,5,6
Cash,Offerings,160224,6,7
GPay,Offerings,115590,6,8
Cash,Contract,171046,5,9
GPay,NPL,71240,5,7
GPay,Contract,67403,3,7
Cash,NPL,116862,10,7
GPay,NPL,190740,5,7
GPay,NPL,180212,7,7
GPay,Contract,95169,3,8
Cash,Contract,119340,5,9
COD,Contract,185130,9,6
Cash,NPL,174454,5,6
COD,Offerings,115853,6,8
COD,Offerings,65046,4,7
GPay,Contract,86494,10,6
COD,NPL,55633,9,6
Cash,Offerings,145164,8,9
COD,Offerings,122074,7,7
Cash,Offerings,182046,3,8
Cash,Contract,88899,4,7
GPay,Offerings,145096,9,6
Cash,NPL,188830,8,8
Cash,Contract,55452,10,8
Cash,NPL,89191,10,8
COD,NPL,123257,9,6
COD,Offerings,162942,3,9
Cash,Contract,153617,5,8
COD,NPL,91795,4,6
Cash,NPL,170961,9,6
GPay,Contract,175470,5,8
Cash,NPL,79340,4,6
GPay,NPL,64765,10,8
Cash,NPL,76970,6,9
GPay,Offerings,98576,8,9
Cash,Offerings,150234,8,9
Cash,Offerings,106352,10,8
COD,Offerings,85781,5,7
GPay,NPL,72563,3,7
COD,NPL,51924,4,6
COD,NPL,98606,3,7
Cash,Contract,69309,9,9
GPay,Contract,130318,9,7
COD,Contract,118213,7,6
COD,Offerings,184583,5,9
Cash,NPL,187127,6,8
Cash,Offerings,142160,4,9
GPay,Offerings,198763,8,6
GPay,NPL,113306,7,9
Cash,NPL,137409,7,7
GPay,Offerings,115238,7,9
COD,NPL,84490,9,7
COD,Offerings,98372,4,8
COD,Offerings,163432,5,6
COD,NPL,177892,3,8
Cash,NPL,52119,8,9
COD,NPL,93320,3,7
GPay,Contract,74339,8,7
COD,Contract,122237,3,6
GPay,Offerings,121121,8,8
GPay,Offerings,161065,8,9
Cash,Contract,182239,10,7
COD,Offerings,78193,3,9
COD,Contract,168568,9,6
GPay,Offerings,195048,9,9
Cash,Offerings,134427,4,9
Cash,Offerings,169934,10,7
GPay,Offerings,168231,9,7
Cash,Contract,137482,7,7
COD,Offerings,72947,6,6
GPay,NPL,167258,4,7
Cash,NPL,126902,8,9
COD,NPL,68060,3,6
COD,Contract,88663,5,8
COD,Contract,66153,3,7
Cash,Offerings,159853,3,6
Cash,NPL,82361,7,8
Cash,Offerings,143303,5,6
COD,Contract,93012,4,9
GPay,Contract,132503,9,9
GPay,Contract,164466,5,8
Cash,NPL,142123,9,7
Cash,Contract,163879,9,8
COD,Offerings,100290,5,7
GPay,Offerings,178402,3,7
Cash,Contract,123655,4,6
GPay,Contract,132871,5,9
Cash,NPL,145064,5,6
COD,Offerings,199306,10,6
Cash,Offerings,134127,5,6
Cash,NPL,182672,5,8
Cash,Offerings,153090,9,7
COD,NPL,106058,9,9
Cash,NPL,74265,8,9
GPay,Contract,136692,4,6
GPay,Contract,194864,8,9
GPay,NPL,198453,10,9
Cash,NPL,194513,7,9
GPay,Contract,119891,9,9
GPay,Contract,120504,10,7
GPay,NPL,89640,8,7
COD,Offerings,142958,4,8
GPay,Offerings,153579,4,8
Cash,NPL,144745,7,9
GPay,NPL,195677,5,9
GPay,Offerings,183105,5,6
COD,NPL,110080,4,9
COD,Contract,98601,7,7
GPay,Offerings,129279,8,7
Cash,Contract,180157,4,6
COD,Contract,122041,9,7
COD,NPL,147121,5,6
COD,Contract,131395,8,7
Cash,Contract,153204,3,6
COD,Contract,90342,8,6
COD,Offerings,159307,6,7
GPay,Offerings,109038,3,9
Cash,NPL,82426,4,6
GPay,NPL,189761,4,9
COD,NPL,56756,6,7
GPay,Offerings,62770,7,6
Cash,NPL,101971,7,6
Cash,Contract,153344,8,8
GPay,Offerings,94263,5,7
GPay,Contract,147369,6,9
Cash,NPL,96146,3,7
GPay,Contract,168216,4,8
Cash,NPL,101648,10,6
COD,NPL,88403,5,6
COD,Contract,154836,6,6
GPay,Contract,111467,6,9
COD,NPL,60426,7,7
GPay,NPL,77829,6,8
COD,Offerings,192079,4,9
GPay,Contract,109110,4,8
COD,NPL,158270,4,6
Cash,Offerings,197415,4,9
COD,Offerings,152858,8,7
GPay,Offerings,165581,10,7
COD,Offerings,122311,7,6
GPay,Contract,143109,7,6
GPay,Offerings,127116,5,8
COD,NPL,108855,4,8
Cash,Offerings,96529,5,8
Cash,NPL,138680,4,7
Cash,NPL,62472,3,8
COD,Offerings,88387,8,8
Cash,Offerings,188824,5,9
GPay,Offerings,132289,9,8
COD,Offerings,163967,6,9
Cash,Offerings,81813,6,7
Cash,Contract,118302,5,9
Cash,NPL,57898,6,9
Cash,NPL,172897,5,7
GPay,Offerings,125381,7,8
COD,Offerings,180914,3,8
COD,Contract,179734,6,7
Cash,NPL,162666,9,6
GPay,Offerings,118854,5,9
GPay,Offerings,185677,10,8
GPay,Contract,63554,10,7
Cash,Offerings,50530,8,9
GPay,NPL,131354,6,6
Cash,Contract,104856,5,6
COD,Offerings,66800,7,9
Cash,Offerings,107336,3,8
GPay,Offerings,56675,9,7
GPay,Offerings,86778,6,9
Cash,NPL,95827,3,8
GPay,Offerings,96284,9,7
GPay,NPL,161408,4,6
Cash,Contract,51494,4,9
Cash,Contract,102384,6,6
COD,NPL,195347,6,7
Cash,Offerings,130749,3,9
Cash,Contract,145509,4,8
COD,Offerings,62099,9,7
GPay,NPL,148490,3,8
GPay,NPL,141803,5,7
COD,NPL,167617,5,7
COD,Contract,161257,4,9
GPay,Contract,97378,3,9
GPay,NPL,109370,10,6
Cash,Contract,89466,4,6
COD,NPL,157054,8,9
Cash,Contract,170850,10,6
GPay,Contract,156244,5,9
COD,NPL,184016,7,7
COD,NPL,185963,8,8
COD,NPL,59826,10,8
GPay,Offerings,63882,9,6
COD,Offerings,68167,5,9
COD,Contract,93771,10,9
COD,NPL,197302,9,9
GPay,Offerings,123626,7,6
COD,NPL,131684,4,6
Cash,NPL,159487,5,8
COD,Offerings,52453,5,9
GPay,NPL,141485,5,9
COD,Offerings,73405,5,6
COD,NPL,154923,9,9
GPay,NPL,98565,6,7
GPay,Contract,91737,6,8
COD,NPL,188240,10,9
Cash,Offerings,115384,5,6
GPay,Offerings,152739,4,6
Cash,Contract,190659,4,7
COD,Offerings,145612,6,9
Cash,Contract,144619,3,6
Cash,Offerings,59409,3,6
Cash,Contract,70220,6,9
COD,Contract,73872,10,7
GPay,Contract,100009,4,7
COD,Offerings,168763,5,6
COD,NPL,79344,6,9
GPay,NPL,58405,9,9
GPay,NPL,189025,9,9
GPay,NPL,114313,7,9
GPay,Offerings,67491,4,9
Cash,Contract,193864,9,7
COD,Offerings,114736,7,8
GPay,NPL,53059,5,8
Cash,Offerings,74252,3,9
Cash,Offerings,50152,7,7
GPay,NPL,175708,5,6
GPay,Offerings,59002,4,8
GPay,Contract,148829,9,9
GPay,Offerings,101284,5,8
COD,NPL,138906,9,9
COD,Contract,96377,7,7
GPay,Offerings,91132,5,6
GPay,Offerings,163539,8,8
GPay,NPL,141476,3,7
Cash,Offerings,114876,8,7
Cash,Contract,75081,4,6
COD,Offerings,77174,6,7
COD,NPL,159117,10,9
COD,NPL,120235,8,6
Cash,Offerings,102645,9,9
GPay,NPL,63031,6,6
COD,Offerings,133470,8,9
COD,Offerings,83181,5,6
COD,Contract,159815,10,6
Cash,Contract,173116,9,7
COD,Contract,111296,3,8
GPay,Offerings,186491,10,8
COD,Offerings,160624,4,8
Cash,Offerings,71484,6,9
Cash,NPL,69405,7,8
COD,Contract,109202,4,7
COD,Contract,111168,3,8
Cash,Offerings,175048,10,9
GPay,Offerings,181258,7,7
GPay,Contract,134019,6,9
GPay,Contract,94975,9,6
COD,Offerings,184724,4,9
GPay,NPL,103296,4,6
GPay,Offerings,81949,7,7
Cash,Offerings,91005,10,7
Cash,Contract,179839,3,7
Cash,NPL,159560,9,9
GPay,Offerings,75810,5,7
GPay,Contract,94012,8,6
Cash,Contract,196774,6,7
COD,Contract,142166,10,8
GPay,Offerings,191906,6,6
COD,Offerings,187457,7,9
GPay,Offerings,84491,8,7
GPay,Contract,57739,6,9
Cash,Contract,80035,7,9
GPay,Contract,51984,6,8
COD,Contract,81525,9,6
Cash,NPL,51928,7,6
COD,Offerings,178544,9,6
Cash,NPL,88276,7,7
Cash,Contract,198809,6,7
GPay,Offerings,145761,9,6
GPay,Contract,82978,10,6
GPay,Offerings,173526,9,6
GPay,NPL,80922,4,7
COD,Offerings,120994,5,8
Cash,Contract,147541,8,7
COD,Contract,77061,6,9
Cash,Contract,91784,5,8
GPay,Offerings,163852,5,8
Cash,Offerings,176721,10,6
Cash,Contract,111729,5,8
GPay,Contract,195700,4,9
Cash,NPL,79301,7,6
Cash,Offerings,190725,5,9
GPay,Contract,176558,9,6
Cash,Offerings,111100,5,6
Cash,NPL,139301,8,6
Cash,Contract,140066,3,8
GPay,NPL,169194,5,7
GPay,Offerings,72072,3,6
GPay,Offerings,63594,10,7
GPay,Contract,50126,9,8
COD,Offerings,191096,4,9
GPay,Offerings,149673,7,7
COD,NPL,81272,10,7
COD,Contract,76206,9,6
Cash,Contract,70197,9,6
Cash,Contract,118891,9,6
COD,Offerings,162096,9,9
GPay,Offerings,174153,7,7
COD,Offerings,126556,6,9
Cash,Offerings,98623,4,6
Cash,NPL,53560,9,7
Cash,Offerings,191490,4,9
Cash,NPL,175669,3,8
Cash,NPL,52658,8,9
Cash,NPL,86597,4,8
GPay,Offerings,77883,10,6
COD,NPL,107615,8,6
GPay,Offerings,175977,5,9
Cash,Offerings,142753,4,9
COD,Offerings,179623,5,6
GPay,Contract,122817,8,7
COD,NPL,59772,4,9
COD,NPL,125115,8,9
COD,Offerings,107786,8,9
COD,Offerings,192779,6,6
GPay,NPL,95218,7,7
COD,Offerings,134753,4,9
Cash,Offerings,150275,4,7
Cash,Offerings,134479,7,9
Cash,Contract,55713,7,6
Cash,NPL,94028,3,6
COD,Offerings,97273,6,6
GPay,Offerings,62972,10,6
COD,NPL,58496,7,9
Cash,NPL,51831,4,8
COD,Contract,190244,5,8
GPay,NPL,190371,10,6
GPay,Contract,68051,7,8
Cash,Contract,95661,10,7
Cash,NPL,111798,10,8
Cash,Offerings,176310,10,9
COD,Offerings,198382,5,6
GPay,NPL,104795,6,7
COD,NPL,143604,7,7
GPay,NPL,94877,4,6
GPay,Contract,72409,8,6
Cash,Contract,132465,10,9
GPay,NPL,148944,3,8
GPay,NPL,56471,4,9
GPay,Offerings,128739,3,6
GPay,NPL,146059,6,8
COD,NPL,119606,8,7
COD,Contract,155212,4,6
GPay,NPL,100127,7,8
Cash,NPL,143847,10,6
COD,Offerings,100074,3,6
GPay,Offerings,84796,8,8
Cash,NPL,139716,5,7
Cash,Offerings,155228,10,9
GPay,Contract,141058,4,9
Cash,NPL,195678,5,7
Cash,Offerings,90461,8,9
Cash,Offerings,86477,8,6
Cash,Contract,97995,7,6
Cash,Contract,164297,9,7
Cash,Contract,97668,6,6
Cash,Offerings,180676,5,8
GPay,Offerings,161969,3,9
GPay,Contract,72339,8,9
GPay,Contract,125251,7,9
Cash,Contract,83863,8,8
Cash,Contract,105326,8,8
GPay,Contract,98179,9,8
GPay,Contract,130326,7,7
Cash,Contract,96102,6,8
COD,Contract,107626,8,7
GPay,NPL,169020,5,7
GPay,Offerings,147287,7,7
Cash,Contract,94960,9,9
COD,Offerings,78689,8,9
Cash,Offerings,74982,8,6
GPay,NPL,180017,3,6
Cash,Offerings,147707,7,9
GPay,Contract,122465,5,9
GPay,NPL,169355,4,6
GPay,NPL,125316,8,7
Cash,Contract,140661,6,9
COD,Offerings,68456,10,6
GPay,Contract,142929,3,9
Cash,NPL,59224,7,6
Cash,Contract,91390,9,6
Cash,Contract,174701,4,7
COD,Contract,76661,5,9
COD,Contract,188282,8,6
Cash,Contract,141051,10,6
Cash,NPL,120311,9,7
Cash,NPL,198743,5,6
GPay,Offerings,99483,9,7
GPay,NPL,155963,7,7
COD,NPL,186667,3,7
GPay,Offerings,123986,3,8
GPay,Offerings,195570,8,7
GPay,Offerings,194841,5,9
COD,Offerings,55230,10,8
COD,Offerings,74603,6,7
COD,Contract,133566,4,8
Cash,Offerings,137931,4,9
Cash,Offerings,91425,3,6
GPay,Offerings,151398,3,7
Cash,Offerings,134524,3,9
COD,NPL,104285,10,7
GPay,Offerings,146478,6,7
Cash,Contract,133684,8,6
COD,Offerings,72165,9,7
GPay,Contract,102510,3,9
Cash,NPL,128713,8,7
COD,Contract,117168,3,7
Cash,NPL,144069,3,8
GPay,NPL,155707,8,7
COD,Contract,172133,8,7
GPay,Offerings,102919,9,7
COD,Contract,156045,3,9
Cash,NPL,145994,6,6
Cash,NPL,132692,10,6
GPay,Contract,117597,7,6
GPay,Contract,154394,10,6
Cash,NPL,64961,3,7
COD,NPL,176021,7,9
GPay,Offerings,107730,4,7
GPay,Contract,186041,9,6
Cash,Offerings,121468,6,6
COD,NPL,190497,8,6
Cash,Contract,50665,6,6
GPay,Contract,89968,5,8
COD,NPL,85384,5,8
Cash,Contract,141937,9,6
Cash,Contract,190801,6,7
GPay,Contract,122747,10,7
COD,Offerings,122080,5,6
Cash,Offerings,71945,6,9
GPay,NPL,54672,4,8
Cash,Offerings,70964,8,8
GPay,Contract,83175,7,7
Cash,Contract,104586,8,9
COD,NPL,135205,9,9
GPay,NPL,167903,6,6
GPay,NPL,166305,6,6
COD,Offerings,157823,3,6
COD,Offerings,89432,9,9
Cash,Contract,61778,7,7
COD,NPL,121718,4,9
COD,NPL,138894,4,8
Cash,Contract,169444,6,9
COD,Offerings,154079,5,8
GPay,NPL,84134,3,9
COD,Contract,190291,4,7
Cash,Offerings,98689,3,7
GPay,Offerings,101747,8,6
COD,Contract,50687,9,7
COD,Contract,164017,3,6
Cash,Offerings,98515,5,9
COD,Offerings,79248,4,8
GPay,Contract,160358,6,8
COD,Contract,85154,7,7
COD,NPL,73274,3,6
GPay,NPL,64041,9,7
COD,Offerings,108956,5,9
Cash,Offerings,93446,4,7
GPay,Contract,90072,7,7
COD,NPL,137287,10,7
GPay,NPL,63142,10,9
COD,Offerings,147447,6,8
Cash,NPL,91477,3,9
COD,Offerings,83998,6,6
COD,Contract,185002,8,7
Cash,Offerings,53312,6,9
Cash,Contract,77446,9,6
GPay,NPL,118087,3,9
COD,Offerings,73812,5,9
COD,Contract,95478,9,8
COD,Offerings,170065,6,9
COD,NPL,173192,4,7
COD,Contract,116399,9,8
Cash,NPL,77094,9,9
Cash,Offerings,102666,3,8
Cash,Contract,171009,7,7
Cash,NPL,175838,10,6
COD,Contract,108668,9,9
GPay,Contract,189879,9,9
Cash,Contract,167088,9,7
COD,NPL,87154,6,8
GPay,Offerings,173299,6,6
GPay,Contract,93419,3,9
GPay,Contract,53134,8,9
COD,Offerings,68158,5,8
GPay,Offerings,68937,7,6
Cash,NPL,91624,8,9
Cash,Offerings,127378,5,9
GPay,NPL,114720,9,9
Cash,NPL,163070,8,8
COD,Offerings,57736,10,9
GPay,NPL,59843,7,7
GPay,Contract,148811,8,6
COD,Offerings,52198,3,6
Cash,Offerings,169668,9,9
GPay,NPL,199152,8,9
GPay,NPL,134112,7,9
GPay,NPL,138737,7,6
COD,Contract,126264,3,6
COD,Offerings,161193,8,9
Cash,NPL,63168,10,8
Cash,Contract,179772,7,6
GPay,Contract,189773,3,8
COD,Offerings,123665,5,8
COD,Offerings,160111,9,7
Cash,Contract,167301,7,7
Cash,NPL,57066,10,7
COD,Contract,173312,4,6
GPay,Offerings,171506,7,9
Cash,Offerings,120828,7,8
GPay,Contract,143647,4,7
GPay,Contract,108438,7,7
GPay,NPL,136655,5,8
COD,Offerings,170673,9,8
Cash,Contract,126388,6,8
GPay,Contract,115951,3,7
COD,NPL,80125,5,7
GPay,Contract,184592,5,8
COD,NPL,155643,3,9
Cash,NPL,146983,7,8
COD,NPL,163292,6,7
COD,Contract,176156,5,9
Cash,Offerings,111637,3,9
COD,Offerings,180894,10,9
Cash,Offerings,109044,4,7
COD,Offerings,159748,7,9
COD,Offerings,106890,9,6
Cash,NPL,110052,9,6
COD,Offerings,142389,4,9
GPay,Offerings,198943,4,8
COD,Contract,109189,5,8
COD,Offerings,58957,4,8
Cash,NPL,169866,9,7
Cash,Offerings,135708,9,6
GPay,NPL,85849,9,6
COD,Offerings,73264,5,7
GPay,Contract,172035,5,9
GPay,Offerings,121420,3,7
COD,NPL,181075,7,8
COD,Offerings,94494,6,7
COD,Offerings,192553,7,7
GPay,Contract,87608,4,9
COD,Contract,123159,8,9
COD,NPL,83771,4,6
Cash,Contract,72987,9,7
GPay,NPL,104416,8,7
Cash,Offerings,183944,9,9
Cash,Offerings,50414,7,6
GPay,Contract,108232,10,6
COD,Offerings,165313,7,6
GPay,NPL,71477,8,7
GPay,Offerings,176381,7,6
COD,Contract,178628,3,8
GPay,NPL,133516,5,6
Cash,Offerings,186213,9,8
GPay,Contract,59978,7,7
GPay,NPL,176797,6,6
Cash,Contract,115033,4,6
COD,Offerings,84815,10,6
GPay,Offerings,132827,10,7
GPay,Contract,159051,7,7
COD,Offerings,128785,10,7
GPay,NPL,129600,9,6
COD,Contract,121263,10,9
Cash,Offerings,119989,3,9
Cash,Contract,170598,8,6
Cash,Offerings,123864,5,8
COD,Contract,57346,9,9
COD,Contract,72868,8,6
COD,Offerings,57416,7,8
Cash,Contract,102406,3,7
COD,Offerings,137957,6,8
GPay,Offerings,154798,6,6
COD,Contract,180802,10,7
Cash,Offerings,173354,8,8
Cash,NPL,101163,9,6
GPay,Offerings,124946,3,8
Cash,Offerings,66053,10,8
GPay,Contract,131752,9,8
Cash,Contract,91274,8,9
Cash,Offerings,157456,6,6
COD,NPL,77916,3,7
COD,Offerings,151197,4,6
COD,Offerings,62247,5,9
GPay,NPL,136154,9,6
Cash,Contract,64245,10,9
Cash,NPL,54864,8,7
Cash,Offerings,163624,8,8
COD,Contract,52313,3,6
GPay,Offerings,171246,4,8
GPay,NPL,140218,8,9
Cash,Contract,193333,4,9
Cash,Offerings,51546,3,7
COD,NPL,182828,4,6
GPay,Offerings,79396,10,7
Cash,Offerings,94700,6,9
COD,NPL,55739,10,9
GPay,Offerings,171885,6,7
GPay,Offerings,141188,10,7
Cash,Contract,161493,6,8
COD,NPL,161885,6,9
GPay,Offerings,65573,8,7
COD,Contract,181544,7,9
GPay,NPL,58886,3,6
GPay,Contract,174301,3,7
GPay,Offerings,100823,4,9
GPay,Offerings,95786,7,9
COD,Contract,127226,5,7
Cash,Contract,114292,7,8
GPay,Offerings,77605,10,9
COD,Offerings,87699,3,7
Cash,NPL,91095,7,9
Cash,NPL,127570,9,9
GPay,Offerings,79569,7,8
COD,Contract,158228,8,9
GPay,NPL,62442,5,9
Cash,NPL,183532,8,8
COD,Contract,104652,6,8
GPay,Contract,106312,7,9
COD,NPL,117902,10,8
COD,Contract,127145,7,7
GPay,Offerings,67006,9,7
GPay,Contract,127849,4,8
COD,Offerings,110802,10,7
Cash,Contract,85073,8,6
Cash,Offerings,111505,8,7
COD,Contract,110843,7,8
Cash,Contract,180710,6,7
Cash,NPL,153963,5,8
GPay,Offerings,193734,6,6
GPay,NPL,134539,6,9
Cash,NPL,92500,3,8
GPay,Offerings,98004,10,8
Cash,NPL,68875,3,9
COD,Contract,158107,10,8
GPay,Contract,80815,9,9
Cash,Contract,69031,8,6
Cash,Offerings,94932,8,9
Cash,Offerings,138637,9,8
Cash,Contract,149275,6,8
Cash,Contract,171078,10,8
COD,NPL,198525,6,9
GPay,NPL,133340,3,8
Cash,NPL,109791,10,9
Cash,NPL,145207,10,8
Cash,Contract,110784,7,8
COD,Offerings,164193,3,6
GPay,NPL,137631,7,6
Cash,Contract,106220,5,9
GPay,Contract,74893,10,8
GPay,Contract,135515,3,9
GPay,NPL,108036,5,7
COD,Offerings,115867,9,7
Cash,NPL,87979,8,9
Cash,NPL,135035,4,7
GPay,Offerings,78743,10,6
GPay,Contract,52249,9,6
COD,NPL,172704,6,7
COD,Offerings,171135,10,8
Cash,NPL,121734,6,8
Cash,NPL,109991,8,9
Cash,Contract,127959,4,9
GPay,NPL,106890,4,6
COD,NPL,182578,4,8
Cash,Offerings,112743,9,9
COD,Contract,127341,4,8
COD,NPL,142323,4,8
COD,NPL,109023,8,8
Cash,NPL,76822,9,8
GPay,Offerings,66634,6,7
Cash,Offerings,51019,3,7
COD,Offerings,62590,8,8
GPay,Offerings,185696,5,6
GPay,NPL,133663,5,7
GPay,Offerings,191781,5,6
GPay,Contract,65930,4,7
Cash,Contract,81579,9,9
COD,Offerings,182888,4,8
Cash,Offerings,161973,4,7
Cash,Contract,126166,5,8
GPay,NPL,187692,4,9
GPay,NPL,125720,3,8
GPay,NPL,81083,6,7
COD,NPL,89935,6,7
GPay,Offerings,176643,6,9
Cash,Offerings,111649,10,7
COD,Offerings,148885,7,8
GPay,Offerings,102220,10,7
COD,NPL,144707,7,7
Cash,Offerings,56173,6,9
GPay,Contract,151681,10,8
GPay,NPL,78279,3,8
Cash,Contract,102770,3,8
COD,Contract,50577,9,7
Cash,Contract,78094,3,6
Cash,NPL,162013,4,8
Cash,NPL,193943,4,7
Cash,Offerings,53734,10,8
COD,Contract,62401,3,7
GPay,Contract,53746,3,9
COD,NPL,79783,8,7
GPay,NPL,161133,5,9
COD,Contract,151997,9,8
GPay,NPL,165927,7,7
Cash,NPL,142698,7,8
GPay,Contract,92600,9,9
COD,NPL,55113,10,9
COD,Offerings,136650,8,6
Cash,NPL,122280,7,6
GPay,NPL,71005,10,6
COD,Contract,85964,6,6
COD,Offerings,83645,10,9
Cash,Contract,100184,8,8
Cash,Offerings,94034,7,7
COD,Contract,96640,8,6
COD,Contract,83769,7,9
Cash,Contract,68494,4,9
Cash,Offerings,184380,10,9
COD,Offerings,71340,4,6
COD,NPL,123378,9,8
GPay,NPL,140602,3,6
COD,NPL,83658,7,6
Cash,Offerings,70489,7,7
GPay,Offerings,129838,6,7
Cash,NPL,155514,10,7
GPay,NPL,112983,4,8
GPay,NPL,78231,3,7
GPay,Contract,110857,8,9
Cash,NPL,71407,5,9
COD,Offerings,172865,10,8
Cash,Contract,167176,3,6
COD,Offerings,114990,4,8
GPay,Contract,66927,10,8
Cash,Contract,123656,3,8
Cash,Offerings,121500,6,6
GPay,Contract,118104,8,7
COD,Offerings,142625,7,6
COD,NPL,56398,4,8
COD,NPL,171332,6,9
GPay,NPL,53979,8,8
Cash,NPL,121854,9,9
Cash,NPL,59415,9,7
COD,NPL,196945,5,8
COD,Offerings,180346,9,7
GPay,Contract,172449,10,6
GPay,NPL,193447,5,8
COD,Contract,73992,3,9
GPay,Contract,86798,7,6
COD,Contract,191560,7,9
COD,Offerings,95749,10,8
COD,NPL,93193,5,7
Cash,Contract,118132,5,8
GPay,NPL,127007,8,8
GPay,Contract,59442,3,7
GPay,Offerings,52502,8,8
GPay,Contract,134521,8,9
Cash,NPL,122673,8,6
GPay,Contract,130235,8,6
GPay,Contract,158672,9,7
Cash,NPL,100870,9,7
COD,Contract,178124,4,8
Cash,Offerings,73153,3,6
Cash,Offerings,104465,8,8
Cash,Offerings,137329,9,8
COD,Offerings,169953,3,7
GPay,Offerings,169599,5,7
GPay,Offerings,158798,9,7
Cash,Contract,86451,8,8
Cash,Contract,156844,9,9
Cash,NPL,157320,8,7
COD,Offerings,143011,3,7
Cash,Contract,57242,10,7
GPay,NPL,132304,5,9
GPay,Contract,157021,9,7
GPay,NPL,154443,7,8
COD,Offerings,58694,3,8
Cash,Contract,142696,10,9
COD,Contract,65323,3,8
GPay,Contract,95548,7,7
Cash,Offerings,129697,7,6
GPay,NPL,160893,10,7
COD,Offerings,147661,5,6
COD,Offerings,148302,8,9
