Class_of_Outlet,Type_of_Outlet,Outlet_ID
VL,RE,CD00345
M,RE,CD00346
VL,HA,CD00347
L,RE,CD00348
SH,DE,CD00349
VL,RE,CD00350
H,DE,CD00351
L,HA,CD00352
H,RE,CD00353
VL,RE,CD00354
SH,HA,CD00355
L,RE,CD00356
M,HA,CD00357
SH,HA,CD00358
M,HA,CD00359
H,RE,CD00360
SH,RE,CD00361
L,RE,CD00362
L,DE,CD00363
H,RE,CD00364
L,DE,CD00365
H,RE,CD00366
L,HA,CD00367
M,RE,CD00368
SH,HA,CD00369
H,DE,CD00370
SH,DE,CD00371
SH,DE,CD00372
VL,RE,CD00373
SH,RE,CD00374
SH,DE,CD00375
SH,HA,CD00376
VL,DE,CD00377
H,DE,CD00378
VL,DE,CD00379
H,DE,CD00380
VL,DE,CD00381
VL,HA,CD00382
L,DE,CD00383
M,HA,CD00384
SH,RE,CD00385
H,RE,CD00386
SH,DE,CD00387
L,HA,CD00388
L,DE,CD00389
M,DE,CD00390
SH,DE,CD00391
SH,RE,CD00392
L,HA,CD00393
VL,HA,CD00394
H,RE,CD00395
SH,HA,CD00396
SH,HA,CD00397
SH,HA,CD00398
VL,DE,CD00399
M,HA,CD00400
M,RE,CD00401
VL,HA,CD00402
M,HA,CD00403
VL,RE,CD00404
L,DE,CD00405
L,RE,CD00406
M,DE,CD00407
L,RE,CD00408
L,RE,CD00409
M,HA,CD00410
SH,HA,CD00411
L,RE,CD00412
M,HA,CD00413
H,RE,CD00414
M,HA,CD00415
M,HA,CD00416
M,DE,CD00417
VL,HA,CD00418
H,RE,CD00419
M,HA,CD00420
L,DE,CD00421
M,HA,CD00422
L,DE,CD00423
L,RE,CD00424
VL,HA,CD00425
H,DE,CD00426
L,DE,CD00427
VL,HA,CD00428
H,RE,CD00429
L,HA,CD00430
VL,RE,CD00431
L,HA,CD00432
SH,HA,CD00433
VL,HA,CD00434
M,RE,CD00435
M,RE,CD00436
M,RE,CD00437
SH,DE,CD00438
H,RE,CD00439
H,DE,CD00440
M,DE,CD00441
VL,HA,CD00442
VL,HA,CD00443
L,HA,CD00444
SH,RE,CD00445
H,HA,CD00446
L,HA,CD00447
SH,HA,CD00448
VL,DE,CD00449
SH,HA,CD00450
L,RE,CD00451
SH,HA,CD00452
VL,HA,CD00453
L,HA,CD00454
SH,RE,CD00455
M,RE,CD00456
VL,RE,CD00457
VL,RE,CD00458
H,DE,CD00459
SH,HA,CD00460
H,RE,CD00461
M,DE,CD00462
SH,HA,CD00463
L,HA,CD00464
VL,HA,CD00465
SH,HA,CD00466
L,RE,CD00467
H,RE,CD00468
H,DE,CD00469
M,HA,CD00470
VL,RE,CD00471
SH,DE,CD00472
H,HA,CD00473
VL,DE,CD00474
L,HA,CD00475
H,HA,CD00476
SH,HA,CD00477
SH,DE,CD00478
H,RE,CD00479
H,HA,CD00480
SH,DE,CD00481
M,DE,CD00482
H,DE,CD00483
SH,HA,CD00484
M,DE,CD00485
L,RE,CD00486
L,HA,CD00487
M,RE,CD00488
L,DE,CD00489
VL,HA,CD00490
SH,DE,CD00491
M,HA,CD00492
H,HA,CD00493
M,HA,CD00494
VL,HA,CD00495
L,RE,CD00496
M,DE,CD00497
SH,HA,CD00498
L,HA,CD00499
L,DE,CD00500
M,HA,CD00501
H,HA,CD00502
H,RE,CD00503
H,RE,CD00504
H,HA,CD00505
M,HA,CD00506
SH,HA,CD00507
VL,HA,CD00508
VL,HA,CD00509
M,RE,CD00510
L,RE,CD00511
L,RE,CD00512
VL,HA,CD00513
H,DE,CD00514
H,HA,CD00515
M,HA,CD00516
VL,HA,CD00517
L,DE,CD00518
H,HA,CD00519
SH,HA,CD00520
H,HA,CD00521
L,DE,CD00522
H,RE,CD00523
M,HA,CD00524
H,RE,CD00525
VL,DE,CD00526
SH,HA,CD00527
M,RE,CD00528
L,DE,CD00529
VL,HA,CD00530
M,HA,CD00531
H,RE,CD00532
VL,DE,CD00533
VL,RE,CD00534
M,DE,CD00535
H,HA,CD00536
L,DE,CD00537
VL,DE,CD00538
H,RE,CD00539
VL,DE,CD00540
H,DE,CD00541
H,HA,CD00542
M,DE,CD00543
L,HA,CD00544
M,HA,CD00545
M,HA,CD00546
VL,DE,CD00547
M,DE,CD00548
L,RE,CD00549
VL,HA,CD00550
SH,RE,CD00551
H,HA,CD00552
SH,HA,CD00553
VL,DE,CD00554
L,DE,CD00555
L,HA,CD00556
SH,RE,CD00557
H,HA,CD00558
M,HA,CD00559
L,RE,CD00560
H,DE,CD00561
H,RE,CD00562
H,HA,CD00563
L,RE,CD00564
H,RE,CD00565
VL,RE,CD00566
VL,RE,CD00567
M,RE,CD00568
M,DE,CD00569
VL,DE,CD00570
L,RE,CD00571
M,RE,CD00572
VL,RE,CD00573
H,RE,CD00574
L,HA,CD00575
L,HA,CD00576
L,HA,CD00577
H,HA,CD00578
L,HA,CD00579
L,DE,CD00580
SH,HA,CD00581
VL,HA,CD00582
H,RE,CD00583
H,HA,CD00584
SH,DE,CD00585
L,DE,CD00586
L,HA,CD00587
L,DE,CD00588
SH,HA,CD00589
H,HA,CD00590
SH,RE,CD00591
M,DE,CD00592
SH,DE,CD00593
H,DE,CD00594
L,RE,CD00595
VL,DE,CD00596
M,DE,CD00597
L,RE,CD00598
VL,DE,CD00599
H,DE,CD00600
SH,HA,CD00601
SH,HA,CD00602
SH,DE,CD00603
L,HA,CD00604
M,RE,CD00605
H,DE,CD00606
M,HA,CD00607
SH,DE,CD00608
L,DE,CD00609
SH,HA,CD00610
SH,HA,CD00611
H,HA,CD00612
SH,RE,CD00613
VL,HA,CD00614
SH,HA,CD00615
L,HA,CD00616
M,HA,CD00617
M,HA,CD00618
M,RE,CD00619
VL,HA,CD00620
L,HA,CD00621
VL,RE,CD00622
L,DE,CD00623
VL,DE,CD00624
H,HA,CD00625
VL,DE,CD00626
M,HA,CD00627
M,DE,CD00628
VL,HA,CD00629
H,DE,CD00630
M,DE,CD00631
VL,HA,CD00632
H,DE,CD00633
H,HA,CD00634
L,RE,CD00635
M,HA,CD00636
M,DE,CD00637
L,DE,CD00638
H,HA,CD00639
SH,HA,CD00640
H,HA,CD00641
M,HA,CD00642
H,RE,CD00643
SH,HA,CD00644
H,HA,CD00645
M,DE,CD00646
L,HA,CD00647
L,HA,CD00648
VL,DE,CD00649
M,DE,CD00650
VL,DE,CD00651
L,DE,CD00652
VL,DE,CD00653
H,RE,CD00654
H,DE,CD00655
VL,RE,CD00656
VL,RE,CD00657
M,HA,CD00658
L,HA,CD00659
VL,DE,CD00660
VL,DE,CD00661
L,HA,CD00662
SH,DE,CD00663
M,DE,CD00664
L,RE,CD00665
VL,HA,CD00666
H,DE,CD00667
H,HA,CD00668
M,DE,CD00669
H,RE,CD00670
L,RE,CD00671
M,RE,CD00672
M,RE,CD00673
M,DE,CD00674
L,DE,CD00675
M,HA,CD00676
VL,DE,CD00677
SH,DE,CD00678
SH,HA,CD00679
L,RE,CD00680
M,DE,CD00681
VL,HA,CD00682
VL,DE,CD00683
M,DE,CD00684
SH,DE,CD00685
SH,DE,CD00686
L,DE,CD00687
SH,RE,CD00688
VL,RE,CD00689
L,HA,CD00690
H,RE,CD00691
M,HA,CD00692
L,HA,CD00693
L,HA,CD00694
H,HA,CD00695
H,HA,CD00696
M,DE,CD00697
SH,HA,CD00698
VL,HA,CD00699
VL,HA,CD00700
SH,DE,CD00701
VL,RE,CD00702
L,HA,CD00703
M,RE,CD00704
M,DE,CD00705
H,RE,CD00706
SH,RE,CD00707
L,RE,CD00708
SH,RE,CD00709
M,HA,CD00710
SH,RE,CD00711
L,DE,CD00712
SH,RE,CD00713
SH,RE,CD00714
SH,DE,CD00715
L,HA,CD00716
SH,HA,CD00717
VL,DE,CD00718
H,HA,CD00719
L,DE,CD00720
VL,DE,CD00721
M,DE,CD00722
L,RE,CD00723
H,DE,CD00724
M,DE,CD00725
L,HA,CD00726
M,RE,CD00727
L,HA,CD00728
SH,DE,CD00729
M,HA,CD00730
SH,DE,CD00731
VL,DE,CD00732
L,RE,CD00733
VL,RE,CD00734
SH,HA,CD00735
L,DE,CD00736
L,HA,CD00737
H,RE,CD00738
VL,RE,CD00739
L,RE,CD00740
H,HA,CD00741
SH,RE,CD00742
VL,DE,CD00743
SH,HA,CD00744
VL,RE,CD00745
H,DE,CD00746
SH,HA,CD00747
VL,HA,CD00748
L,HA,CD00749
SH,DE,CD00750
H,RE,CD00751
SH,RE,CD00752
H,HA,CD00753
M,HA,CD00754
SH,RE,CD00755
H,DE,CD00756
L,RE,CD00757
L,DE,CD00758
SH,RE,CD00759
M,HA,CD00760
L,DE,CD00761
SH,HA,CD00762
M,DE,CD00763
VL,DE,CD00764
H,RE,CD00765
L,HA,CD00766
SH,HA,CD00767
SH,DE,CD00768
M,DE,CD00769
VL,DE,CD00770
M,HA,CD00771
H,DE,CD00772
H,HA,CD00773
H,RE,CD00774
SH,HA,CD00775
H,RE,CD00776
H,DE,CD00777
M,DE,CD00778
SH,RE,CD00779
H,DE,CD00780
H,DE,CD00781
M,HA,CD00782
M,HA,CD00783
L,HA,CD00784
SH,DE,CD00785
M,HA,CD00786
H,DE,CD00787
H,DE,CD00788
VL,DE,CD00789
M,DE,CD00790
M,RE,CD00791
M,DE,CD00792
H,DE,CD00793
L,RE,CD00794
SH,HA,CD00795
SH,RE,CD00796
L,DE,CD00797
H,DE,CD00798
M,RE,CD00799
SH,RE,CD00800
SH,DE,CD00801
SH,DE,CD00802
M,DE,CD00803
L,DE,CD00804
H,HA,CD00805
H,HA,CD00806
L,DE,CD00807
H,HA,CD00808
SH,DE,CD00809
H,DE,CD00810
VL,RE,CD00811
SH,RE,CD00812
VL,HA,CD00813
L,DE,CD00814
VL,HA,CD00815
VL,RE,CD00816
H,RE,CD00817
VL,RE,CD00818
L,RE,CD00819
H,HA,CD00820
VL,DE,CD00821
M,HA,CD00822
H,HA,CD00823
SH,DE,CD00824
M,RE,CD00825
L,HA,CD00826
L,DE,CD00827
SH,HA,CD00828
L,RE,CD00829
L,RE,CD00830
VL,HA,CD00831
M,RE,CD00832
VL,DE,CD00833
L,HA,CD00834
H,HA,CD00835
H,HA,CD00836
VL,RE,CD00837
M,RE,CD00838
M,RE,CD00839
L,DE,CD00840
H,HA,CD00841
SH,HA,CD00842
L,HA,CD00843
SH,DE,CD00844
H,RE,CD00845
M,DE,CD00846
SH,HA,CD00847
H,RE,CD00848
SH,RE,CD00849
L,HA,CD00850
VL,HA,CD00851
SH,DE,CD00852
M,HA,CD00853
VL,HA,CD00854
H,HA,CD00855
H,HA,CD00856
L,RE,CD00857
M,HA,CD00858
L,RE,CD00859
SH,RE,CD00860
L,RE,CD00861
M,HA,CD00862
M,HA,CD00863
H,HA,CD00864
H,RE,CD00865
H,HA,CD00866
M,RE,CD00867
VL,HA,CD00868
SH,RE,CD00869
VL,DE,CD00870
M,DE,CD00871
VL,HA,CD00872
SH,DE,CD00873
H,HA,CD00874
L,RE,CD00875
L,RE,CD00876
M,RE,CD00877
VL,DE,CD00878
L,DE,CD00879
VL,RE,CD00880
H,HA,CD00881
VL,RE,CD00882
H,RE,CD00883
L,DE,CD00884
L,HA,CD00885
H,RE,CD00886
H,DE,CD00887
H,HA,CD00888
M,HA,CD00889
VL,DE,CD00890
H,DE,CD00891
SH,DE,CD00892
H,DE,CD00893
SH,HA,CD00894
L,HA,CD00895
SH,RE,CD00896
VL,HA,CD00897
SH,HA,CD00898
M,DE,CD00899
L,DE,CD00900
SH,RE,CD00901
M,HA,CD00902
L,DE,CD00903
SH,RE,CD00904
H,RE,CD00905
L,DE,CD00906
VL,RE,CD00907
VL,DE,CD00908
SH,RE,CD00909
SH,HA,CD00910
H,RE,CD00911
VL,DE,CD00912
H,RE,CD00913
H,RE,CD00914
VL,HA,CD00915
L,DE,CD00916
SH,HA,CD00917
SH,DE,CD00918
H,HA,CD00919
M,HA,CD00920
L,DE,CD00921
SH,DE,CD00922
SH,RE,CD00923
VL,DE,CD00924
L,HA,CD00925
SH,RE,CD00926
H,HA,CD00927
SH,HA,CD00928
L,RE,CD00929
SH,HA,CD00930
SH,DE,CD00931
VL,HA,CD00932
L,DE,CD00933
L,HA,CD00934
L,DE,CD00935
VL,DE,CD00936
H,DE,CD00937
L,HA,CD00938
L,RE,CD00939
L,HA,CD00940
M,RE,CD00941
L,HA,CD00942
SH,DE,CD00943
L,DE,CD00944
VL,DE,CD00945
M,HA,CD00946
H,DE,CD00947
VL,RE,CD00948
VL,HA,CD00949
M,HA,CD00950
L,HA,CD00951
H,HA,CD00952
SH,DE,CD00953
M,DE,CD00954
L,RE,CD00955
L,RE,CD00956
L,RE,CD00957
H,DE,CD00958
H,HA,CD00959
M,RE,CD00960
SH,DE,CD00961
L,RE,CD00962
L,HA,CD00963
SH,RE,CD00964
H,DE,CD00965
SH,HA,CD00966
SH,DE,CD00967
M,DE,CD00968
H,DE,CD00969
VL,RE,CD00970
VL,DE,CD00971
H,HA,CD00972
L,RE,CD00973
H,RE,CD00974
M,HA,CD00975
SH,DE,CD00976
VL,HA,CD00977
VL,HA,CD00978
VL,HA,CD00979
M,HA,CD00980
H,HA,CD00981
L,RE,CD00982
VL,RE,CD00983
H,DE,CD00984
M,RE,CD00985
SH,RE,CD00986
SH,RE,CD00987
M,HA,CD00988
H,RE,CD00989
M,RE,CD00990
L,HA,CD00991
VL,DE,CD00992
VL,HA,CD00993
SH,RE,CD00994
L,DE,CD00995
SH,HA,CD00996
L,RE,CD00997
M,RE,CD00998
M,RE,CD00999
VL,RE,CD01000
H,RE,CD01001
L,DE,CD01002
L,HA,CD01003
L,RE,CD01004
M,HA,CD01005
M,HA,CD01006
L,HA,CD01007
L,HA,CD01008
VL,DE,CD01009
L,HA,CD01010
H,HA,CD01011
L,RE,CD01012
H,DE,CD01013
SH,RE,CD01014
SH,RE,CD01015
VL,RE,CD01016
H,RE,CD01017
VL,RE,CD01018
M,HA,CD01019
VL,HA,CD01020
H,RE,CD01021
SH,RE,CD01022
SH,DE,CD01023
L,HA,CD01024
SH,RE,CD01025
H,HA,CD01026
VL,DE,CD01027
VL,RE,CD01028
M,HA,CD01029
H,HA,CD01030
H,RE,CD01031
SH,RE,CD01032
SH,DE,CD01033
L,DE,CD01034
L,DE,CD01035
L,RE,CD01036
M,RE,CD01037
H,HA,CD01038
H,HA,CD01039
M,HA,CD01040
H,RE,CD01041
SH,RE,CD01042
M,HA,CD01043
VL,RE,CD01044
H,DE,CD01045
VL,RE,CD01046
VL,HA,CD01047
SH,DE,CD01048
H,DE,CD01049
VL,DE,CD01050
L,DE,CD01051
L,DE,CD01052
H,HA,CD01053
VL,DE,CD01054
SH,HA,CD01055
VL,RE,CD01056
L,HA,CD01057
VL,HA,CD01058
L,DE,CD01059
L,DE,CD01060
VL,HA,CD01061
SH,RE,CD01062
SH,RE,CD01063
SH,DE,CD01064
H,RE,CD01065
M,DE,CD01066
M,HA,CD01067
SH,DE,CD01068
SH,HA,CD01069
M,RE,CD01070
M,HA,CD01071
H,RE,CD01072
L,DE,CD01073
SH,RE,CD01074
H,RE,CD01075
SH,DE,CD01076
VL,RE,CD01077
M,DE,CD01078
VL,HA,CD01079
VL,DE,CD01080
M,DE,CD01081
SH,DE,CD01082
VL,HA,CD01083
L,RE,CD01084
SH,DE,CD01085
VL,DE,CD01086
VL,RE,CD01087
SH,RE,CD01088
VL,RE,CD01089
VL,RE,CD01090
VL,DE,CD01091
L,DE,CD01092
H,DE,CD01093
SH,DE,CD01094
VL,DE,CD01095
SH,HA,CD01096
M,HA,CD01097
L,DE,CD01098
M,DE,CD01099
H,HA,CD01100
L,HA,CD01101
SH,HA,CD01102
L,RE,CD01103
VL,HA,CD01104
VL,DE,CD01105
VL,DE,CD01106
VL,DE,CD01107
H,HA,CD01108
VL,DE,CD01109
L,DE,CD01110
M,DE,CD01111
SH,DE,CD01112
M,HA,CD01113
L,RE,CD01114
L,DE,CD01115
L,DE,CD01116
L,DE,CD01117
L,DE,CD01118
L,RE,CD01119
VL,DE,CD01120
VL,DE,CD01121
VL,DE,CD01122
VL,DE,CD01123
SH,DE,CD01124
M,RE,CD01125
SH,HA,CD01126
SH,HA,CD01127
VL,HA,CD01128
H,RE,CD01129
VL,RE,CD01130
SH,DE,CD01131
VL,HA,CD01132
SH,RE,CD01133
H,DE,CD01134
VL,HA,CD01135
SH,HA,CD01136
L,RE,CD01137
L,RE,CD01138
H,DE,CD01139
VL,DE,CD01140
M,RE,CD01141
VL,RE,CD01142
VL,DE,CD01143
VL,HA,CD01144
SH,DE,CD01145
L,RE,CD01146
L,DE,CD01147
H,HA,CD01148
M,DE,CD01149
SH,RE,CD01150
L,RE,CD01151
M,RE,CD01152
SH,RE,CD01153
L,DE,CD01154
SH,HA,CD01155
L,DE,CD01156
H,RE,CD01157
SH,DE,CD01158
M,HA,CD01159
M,DE,CD01160
L,RE,CD01161
SH,RE,CD01162
M,DE,CD01163
H,DE,CD01164
L,DE,CD01165
VL,HA,CD01166
VL,DE,CD01167
H,DE,CD01168
SH,RE,CD01169
M,RE,CD01170
H,RE,CD01171
SH,RE,CD01172
VL,RE,CD01173
H,RE,CD01174
SH,RE,CD01175
SH,RE,CD01176
H,RE,CD01177
H,DE,CD01178
L,RE,CD01179
M,DE,CD01180
SH,RE,CD01181
H,HA,CD01182
M,RE,CD01183
M,DE,CD01184
H,HA,CD01185
L,HA,CD01186
SH,RE,CD01187
H,DE,CD01188
H,HA,CD01189
L,HA,CD01190
SH,HA,CD01191
L,DE,CD01192
H,DE,CD01193
SH,RE,CD01194
H,RE,CD01195
SH,HA,CD01196
M,HA,CD01197
H,RE,CD01198
VL,RE,CD01199
M,HA,CD01200
VL,DE,CD01201
SH,DE,CD01202
H,DE,CD01203
L,HA,CD01204
VL,HA,CD01205
M,RE,CD01206
L,HA,CD01207
L,HA,CD01208
H,RE,CD01209
M,DE,CD01210
VL,DE,CD01211
SH,HA,CD01212
M,DE,CD01213
H,HA,CD01214
M,RE,CD01215
VL,DE,CD01216
SH,DE,CD01217
L,DE,CD01218
H,HA,CD01219
M,DE,CD01220
SH,DE,CD01221
SH,DE,CD01222
L,DE,CD01223
SH,HA,CD01224
VL,HA,CD01225
SH,RE,CD01226
M,DE,CD01227
SH,HA,CD01228
VL,RE,CD01229
M,DE,CD01230
H,HA,CD01231
L,DE,CD01232
SH,HA,CD01233
M,DE,CD01234
M,RE,CD01235
SH,RE,CD01236
SH,RE,CD01237
SH,HA,CD01238
M,HA,CD01239
L,RE,CD01240
M,HA,CD01241
L,DE,CD01242
H,RE,CD01243
SH,HA,CD01244
M,RE,CD01245
VL,HA,CD01246
SH,DE,CD01247
L,DE,CD01248
M,HA,CD01249
L,DE,CD01250
SH,DE,CD01251
M,DE,CD01252
M,RE,CD01253
VL,DE,CD01254
H,RE,CD01255
M,DE,CD01256
L,RE,CD01257
SH,DE,CD01258
H,RE,CD01259
H,HA,CD01260
VL,RE,CD01261
M,HA,CD01262
SH,DE,CD01263
L,HA,CD01264
VL,DE,CD01265
H,HA,CD01266
H,HA,CD01267
VL,RE,CD01268
VL,HA,CD01269
L,HA,CD01270
H,RE,CD01271
M,RE,CD01272
H,RE,CD01273
H,HA,CD01274
H,DE,CD01275
SH,HA,CD01276
SH,HA,CD01277
H,RE,CD01278
L,RE,CD01279
M,HA,CD01280
VL,HA,CD01281
H,RE,CD01282
M,HA,CD01283
L,HA,CD01284
L,RE,CD01285
VL,HA,CD01286
SH,RE,CD01287
VL,DE,CD01288
L,HA,CD01289
L,RE,CD01290
VL,RE,CD01291
L,RE,CD01292
L,DE,CD01293
L,DE,CD01294
M,HA,CD01295
VL,HA,CD01296
SH,RE,CD01297
SH,DE,CD01298
H,RE,CD01299
M,RE,CD01300
VL,HA,CD01301
VL,DE,CD01302
M,DE,CD01303
VL,DE,CD01304
L,RE,CD01305
H,HA,CD01306
M,DE,CD01307
VL,RE,CD01308
VL,RE,CD01309
M,DE,CD01310
SH,RE,CD01311
H,DE,CD01312
H,DE,CD01313
M,RE,CD01314
SH,DE,CD01315
VL,DE,CD01316
M,HA,CD01317
VL,HA,CD01318
SH,HA,CD01319
M,DE,CD01320
H,HA,CD01321
SH,HA,CD01322
M,RE,CD01323
SH,DE,CD01324
M,DE,CD01325
L,RE,CD01326
H,RE,CD01327
M,RE,CD01328
M,DE,CD01329
H,RE,CD01330
H,RE,CD01331
H,DE,CD01332
L,RE,CD01333
L,DE,CD01334
SH,DE,CD01335
M,DE,CD01336
H,DE,CD01337
M,DE,CD01338
L,DE,CD01339
M,HA,CD01340
