Power Outage (min),Power Downtime (min),Temperature (C),Current Load (kW),Usage Stats,region_stats,date
43819,98,31,22,12,South,2021-09-09 00:00:00
29154,31,24,22,21,East,2024-02-17 00:00:00
18071,48,18,11,14,North,2024-05-30 00:00:00
35911,95,33,22,14,South,2023-06-23 00:00:00
19796,97,22,22,20,West,2023-04-07 00:00:00
21595,103,20,22,14,South,2020-10-01 00:00:00
31568,93,43,11,12,South,2020-06-22 00:00:00
15061,114,17,22,18,West,2024-09-14 00:00:00
29931,64,21,22,18,North,2023-09-29 00:00:00
41740,24,23,22,16,West,2022-05-27 00:00:00
39860,27,29,22,19,South,2024-03-18 00:00:00
24864,90,19,11,12,West,2022-09-12 00:00:00
43594,113,17,11,15,South,2022-12-08 00:00:00
17842,78,20,11,12,South,2020-11-04 00:00:00
41464,114,21,22,21,North,2020-08-28 00:00:00
40537,64,29,11,20,East,2024-06-01 00:00:00
43636,14,26,22,15,North,2022-05-21 00:00:00
29550,111,17,11,11,South,2024-05-28 00:00:00
40770,34,45,11,14,West,2021-02-14 00:00:00
38462,57,42,22,17,South,2022-01-20 00:00:00
19354,71,15,11,19,East,2023-05-27 00:00:00
22390,76,42,22,17,West,2022-04-14 00:00:00
25492,75,27,11,16,North,2020-03-28 00:00:00
19631,75,33,11,17,North,2020-05-20 00:00:00
32681,15,29,22,11,North,2020-10-23 00:00:00
35152,69,19,11,13,West,2021-11-26 00:00:00
41923,9,24,22,22,South,2024-11-13 00:00:00
30153,10,40,22,12,East,2021-05-09 00:00:00
20699,47,40,11,13,East,2024-11-12 00:00:00
16602,53,25,22,19,East,2022-02-16 00:00:00
35179,106,29,22,13,North,2020-01-02 00:00:00
43519,115,16,11,21,North,2020-10-30 00:00:00
38188,94,22,22,17,West,2021-12-09 00:00:00
36280,77,22,11,22,West,2020-05-25 00:00:00
26355,20,33,22,11,South,2023-10-19 00:00:00
22696,100,19,11,21,East,2022-09-15 00:00:00
24941,75,18,11,11,East,2022-02-16 00:00:00
27395,113,18,11,17,South,2024-05-17 00:00:00
29272,120,37,11,11,North,2020-04-09 00:00:00
19650,86,27,22,16,South,2023-12-13 00:00:00
23232,72,30,22,14,East,2021-04-17 00:00:00
22957,111,26,11,17,East,2021-09-03 00:00:00
29670,47,38,11,16,North,2024-09-25 00:00:00
44138,86,40,22,21,West,2021-05-14 00:00:00
22376,69,41,22,22,North,2023-06-19 00:00:00
18278,119,31,11,12,North,2024-03-19 00:00:00
23431,72,17,22,15,South,2024-12-07 00:00:00
36142,45,44,22,21,West,2024-11-05 00:00:00
29492,55,33,11,11,North,2024-05-19 00:00:00
20348,108,32,22,20,South,2023-05-01 00:00:00
41668,21,22,22,21,South,2022-06-25 00:00:00
24139,43,33,11,20,East,2022-05-01 00:00:00
25774,109,38,11,15,West,2021-02-13 00:00:00
43364,16,36,22,21,North,2021-12-10 00:00:00
31828,34,18,22,19,East,2022-10-11 00:00:00
29018,30,29,22,17,West,2020-11-20 00:00:00
26367,82,32,11,17,West,2023-07-30 00:00:00
20843,9,31,11,13,East,2021-08-29 00:00:00
19683,40,20,11,13,South,2020-09-01 00:00:00
18455,33,32,22,22,East,2021-12-28 00:00:00
38428,11,32,22,19,North,2020-09-10 00:00:00
21616,59,24,22,22,East,2022-10-03 00:00:00
16806,30,30,11,22,East,2022-02-03 00:00:00
43817,15,18,11,15,North,2021-10-13 00:00:00
18116,101,30,11,12,North,2024-04-20 00:00:00
18013,16,18,11,16,West,2022-12-08 00:00:00
20068,35,29,11,18,North,2023-07-03 00:00:00
24959,62,42,22,19,West,2021-04-11 00:00:00
22315,55,22,11,18,South,2020-11-21 00:00:00
16243,57,28,22,22,North,2023-09-04 00:00:00
16079,26,30,22,13,South,2020-01-11 00:00:00
15218,30,43,11,14,South,2023-11-09 00:00:00
38273,90,28,11,13,North,2022-03-19 00:00:00
43146,50,26,11,21,East,2020-03-08 00:00:00
29817,115,15,22,16,East,2020-08-07 00:00:00
21772,78,20,11,16,West,2021-05-05 00:00:00
22190,76,35,22,14,South,2021-12-02 00:00:00
35812,68,22,22,22,North,2021-06-02 00:00:00
22176,102,31,22,16,South,2022-02-18 00:00:00
17067,76,39,11,20,West,2023-07-14 00:00:00
35171,114,29,11,12,North,2020-06-09 00:00:00
26108,13,19,22,13,South,2023-10-23 00:00:00
37467,49,38,11,11,South,2023-10-30 00:00:00
35903,61,36,22,20,North,2024-12-20 00:00:00
18564,67,25,11,20,West,2023-11-24 00:00:00
37557,61,25,11,11,East,2024-10-22 00:00:00
35365,76,32,22,15,North,2022-10-16 00:00:00
42323,109,34,22,11,East,2021-10-06 00:00:00
43058,81,25,11,13,South,2021-01-14 00:00:00
35521,76,24,22,22,North,2022-02-25 00:00:00
19694,61,17,22,11,West,2021-05-29 00:00:00
38720,39,40,11,14,East,2020-09-12 00:00:00
43236,38,34,11,18,North,2023-08-14 00:00:00
17866,71,42,22,16,North,2024-10-01 00:00:00
25766,26,29,11,15,West,2022-10-09 00:00:00
42891,100,23,22,20,North,2021-08-22 00:00:00
32651,13,28,22,15,North,2022-07-29 00:00:00
28021,78,28,11,12,North,2022-10-12 00:00:00
41820,68,20,22,13,West,2024-06-21 00:00:00
21793,6,22,11,11,West,2020-10-22 00:00:00
39204,114,39,11,16,South,2021-06-05 00:00:00
38144,108,18,11,16,East,2024-09-17 00:00:00
15825,88,19,22,11,West,2020-06-18 00:00:00
37396,97,15,11,19,North,2024-08-06 00:00:00
26163,32,24,22,16,West,2021-10-01 00:00:00
36842,85,22,22,22,North,2023-01-30 00:00:00
26166,24,36,22,15,North,2021-11-05 00:00:00
25355,29,43,22,18,East,2023-10-30 00:00:00
19804,30,16,22,20,North,2023-01-12 00:00:00
27840,44,40,22,14,East,2020-04-25 00:00:00
44479,76,32,22,13,East,2023-03-19 00:00:00
18998,45,16,22,21,West,2023-06-08 00:00:00
33878,111,37,22,21,West,2024-08-09 00:00:00
36767,114,30,11,11,South,2022-11-19 00:00:00
34515,37,34,22,15,North,2022-01-23 00:00:00
42186,25,43,22,16,North,2020-12-10 00:00:00
37606,32,25,11,21,East,2020-10-05 00:00:00
33577,72,16,11,18,West,2023-06-07 00:00:00
32333,59,28,11,16,North,2023-03-30 00:00:00
32336,65,30,22,15,East,2022-11-13 00:00:00
29107,49,21,11,20,West,2020-11-24 00:00:00
38803,43,27,22,17,North,2024-02-01 00:00:00
42183,54,35,11,22,East,2021-12-11 00:00:00
33728,43,39,11,17,West,2020-10-16 00:00:00
24077,70,20,22,20,South,2023-08-31 00:00:00
35342,34,41,22,20,North,2021-04-09 00:00:00
16230,52,39,22,20,South,2020-07-08 00:00:00
34250,38,20,22,20,North,2021-06-20 00:00:00
33898,56,17,11,17,North,2020-01-15 00:00:00
15472,40,44,22,11,South,2020-08-29 00:00:00
31872,44,43,11,15,North,2024-10-03 00:00:00
20488,73,33,22,13,South,2023-04-20 00:00:00
26791,17,30,22,21,South,2022-09-27 00:00:00
37128,95,30,22,16,South,2021-10-21 00:00:00
38709,17,18,22,12,West,2023-01-15 00:00:00
27612,21,23,22,16,South,2021-12-12 00:00:00
25787,30,31,11,22,North,2022-01-01 00:00:00
30057,19,26,11,12,South,2020-03-02 00:00:00
36122,96,23,11,14,West,2020-01-17 00:00:00
26441,92,43,22,20,West,2023-10-25 00:00:00
27536,8,43,11,22,North,2023-02-20 00:00:00
42507,66,27,22,17,West,2022-10-10 00:00:00
30439,78,18,22,14,West,2023-03-13 00:00:00
31338,109,33,22,12,North,2020-01-25 00:00:00
15915,15,35,22,17,East,2024-07-03 00:00:00
36305,70,44,22,17,West,2024-06-06 00:00:00
29861,31,32,22,19,East,2020-08-17 00:00:00
38602,93,34,22,21,North,2024-07-06 00:00:00
42910,113,25,11,15,West,2023-06-19 00:00:00
25170,26,24,22,15,South,2022-03-26 00:00:00
22208,22,41,22,21,North,2023-08-01 00:00:00
42871,9,39,22,17,North,2022-11-18 00:00:00
38666,99,38,11,14,East,2022-02-20 00:00:00
26337,53,21,11,12,South,2021-02-23 00:00:00
22214,47,23,11,14,West,2024-05-20 00:00:00
27671,91,43,22,17,North,2024-05-21 00:00:00
38638,72,20,22,16,North,2020-01-08 00:00:00
25695,115,36,11,22,North,2021-09-01 00:00:00
22182,6,28,22,21,North,2021-02-12 00:00:00
40732,104,36,22,12,West,2024-06-09 00:00:00
32556,14,24,22,18,East,2024-01-24 00:00:00
27119,42,43,22,15,West,2022-04-02 00:00:00
27573,41,45,22,21,South,2021-06-11 00:00:00
33230,116,41,22,15,North,2020-07-06 00:00:00
24965,29,39,11,21,South,2021-11-24 00:00:00
31187,84,19,22,14,West,2020-04-18 00:00:00
33064,44,31,11,21,West,2020-04-23 00:00:00
33997,64,24,11,21,South,2022-06-30 00:00:00
33820,41,22,11,19,West,2023-07-28 00:00:00
19871,71,23,11,17,South,2021-10-22 00:00:00
21899,99,29,11,14,North,2024-05-24 00:00:00
40598,33,31,11,15,South,2023-12-10 00:00:00
42963,107,32,22,17,West,2021-03-04 00:00:00
24586,82,28,22,11,South,2023-11-16 00:00:00
15042,32,31,11,16,South,2022-07-28 00:00:00
24003,58,29,22,16,North,2021-08-29 00:00:00
36179,39,17,11,15,East,2023-03-03 00:00:00
38860,90,31,22,14,North,2023-10-09 00:00:00
42913,79,39,22,19,South,2023-09-11 00:00:00
15278,72,28,22,12,North,2020-03-04 00:00:00
23898,55,45,11,11,South,2024-06-21 00:00:00
32191,95,38,22,16,North,2021-10-06 00:00:00
28379,74,38,11,11,West,2024-07-12 00:00:00
27660,84,28,22,12,West,2023-02-28 00:00:00
17765,117,16,11,14,East,2020-05-18 00:00:00
28918,40,35,11,22,South,2021-05-11 00:00:00
43734,46,27,11,16,East,2024-05-03 00:00:00
43895,27,23,11,11,North,2023-06-05 00:00:00
16457,59,36,22,19,North,2022-06-02 00:00:00
24206,67,44,11,22,North,2022-04-22 00:00:00
25597,75,35,22,16,North,2023-12-15 00:00:00
22856,67,36,22,21,South,2023-03-19 00:00:00
23221,47,17,22,11,East,2022-02-22 00:00:00
28622,7,24,22,16,South,2023-06-22 00:00:00
34226,65,20,11,16,East,2023-12-01 00:00:00
28152,80,43,22,11,North,2020-10-06 00:00:00
24176,38,22,11,15,East,2024-07-08 00:00:00
37403,48,28,11,14,North,2023-06-04 00:00:00
42057,17,23,22,20,South,2022-05-03 00:00:00
38987,28,29,11,12,North,2020-12-18 00:00:00
28147,44,32,22,18,East,2023-03-29 00:00:00
37154,72,36,11,21,West,2021-06-25 00:00:00
36748,80,22,22,18,East,2021-10-23 00:00:00
44549,30,38,11,11,East,2021-01-22 00:00:00
34338,48,22,22,18,West,2023-02-15 00:00:00
44795,51,18,22,19,West,2020-06-02 00:00:00
34234,69,41,22,16,East,2022-03-20 00:00:00
37034,5,27,11,13,North,2023-12-04 00:00:00
39950,14,19,22,14,East,2020-08-04 00:00:00
43608,90,27,11,12,West,2022-02-01 00:00:00
27390,68,38,11,21,West,2021-10-28 00:00:00
40306,45,39,11,17,South,2021-10-25 00:00:00
33630,68,25,22,19,North,2020-09-17 00:00:00
17359,62,21,22,22,East,2021-04-25 00:00:00
21067,25,24,22,17,West,2021-12-12 00:00:00
33138,22,42,11,19,East,2020-06-08 00:00:00
37269,6,30,22,19,South,2022-04-13 00:00:00
29463,60,35,22,12,North,2023-03-17 00:00:00
37029,109,17,22,12,South,2020-12-29 00:00:00
35949,54,20,11,15,East,2022-02-15 00:00:00
36012,108,27,22,20,West,2021-01-07 00:00:00
18886,49,19,22,18,South,2023-10-31 00:00:00
17809,113,35,11,18,South,2024-11-04 00:00:00
30402,13,15,22,13,South,2023-05-06 00:00:00
22938,102,30,22,18,East,2022-11-23 00:00:00
42023,12,20,22,16,South,2024-07-29 00:00:00
25858,96,38,22,18,West,2020-10-24 00:00:00
41375,22,17,22,22,North,2023-11-18 00:00:00
40046,58,16,22,12,East,2024-07-11 00:00:00
21416,45,25,22,15,East,2020-08-17 00:00:00
17119,81,41,11,18,East,2023-10-23 00:00:00
30667,59,36,11,17,West,2024-09-25 00:00:00
25436,21,20,11,16,West,2023-06-09 00:00:00
16796,70,36,11,19,West,2020-03-22 00:00:00
27424,66,45,11,22,North,2024-04-17 00:00:00
21550,64,26,22,17,South,2022-01-24 00:00:00
39803,32,30,22,19,West,2024-01-13 00:00:00
21575,37,30,22,18,South,2023-08-11 00:00:00
28941,41,22,22,22,South,2020-08-17 00:00:00
23542,115,43,11,20,West,2024-04-01 00:00:00
24794,115,15,22,12,West,2023-10-20 00:00:00
27017,26,30,11,19,East,2023-03-14 00:00:00
39554,109,24,22,21,South,2022-11-20 00:00:00
15679,80,44,11,14,North,2024-02-10 00:00:00
21286,81,37,22,21,East,2024-02-16 00:00:00
20382,114,17,11,19,South,2021-12-02 00:00:00
42226,21,18,22,12,East,2022-12-06 00:00:00
16336,9,31,22,15,East,2021-04-16 00:00:00
44578,104,29,22,15,South,2021-02-06 00:00:00
36605,24,41,11,21,East,2023-11-03 00:00:00
21143,80,15,22,19,North,2024-12-17 00:00:00
35878,67,37,11,22,East,2024-09-17 00:00:00
28258,93,32,22,14,North,2024-09-10 00:00:00
34590,46,42,11,11,South,2022-07-14 00:00:00
17287,5,32,22,16,West,2024-09-22 00:00:00
36689,96,17,11,14,North,2024-10-11 00:00:00
24886,14,32,11,14,West,2023-03-26 00:00:00
42744,78,16,22,13,South,2023-06-21 00:00:00
29623,63,39,22,11,West,2020-10-02 00:00:00
18354,67,15,22,11,North,2020-12-07 00:00:00
38218,12,16,22,19,East,2020-10-10 00:00:00
27793,95,28,22,15,East,2022-08-26 00:00:00
37525,68,40,11,16,South,2022-07-31 00:00:00
43739,58,35,22,12,West,2020-10-13 00:00:00
16636,53,38,11,17,North,2023-09-07 00:00:00
30925,111,35,22,14,West,2020-10-28 00:00:00
26886,41,24,11,18,North,2024-01-20 00:00:00
21817,116,21,11,13,West,2023-07-08 00:00:00
44382,75,24,22,20,South,2022-12-13 00:00:00
29592,100,29,11,16,West,2020-03-09 00:00:00
25205,36,40,11,21,East,2020-10-14 00:00:00
24630,95,41,22,12,North,2020-08-18 00:00:00
43259,45,22,22,20,West,2020-07-17 00:00:00
31466,46,40,11,22,North,2023-05-18 00:00:00
32714,31,26,22,13,East,2023-06-21 00:00:00
15899,62,26,11,13,East,2024-05-29 00:00:00
42716,100,45,11,13,North,2022-08-19 00:00:00
23771,72,28,11,14,North,2024-08-03 00:00:00
40679,37,22,22,19,West,2024-06-26 00:00:00
33126,107,25,22,11,South,2023-10-17 00:00:00
21906,116,45,22,14,West,2023-02-12 00:00:00
18826,47,42,22,17,South,2020-09-13 00:00:00
15247,10,39,22,20,North,2022-01-29 00:00:00
33217,82,22,22,16,West,2022-05-31 00:00:00
43775,58,29,11,16,East,2020-08-11 00:00:00
18617,23,34,11,18,East,2021-03-09 00:00:00
39788,11,28,22,16,North,2021-06-21 00:00:00
42985,52,34,11,17,North,2023-01-10 00:00:00
24865,88,25,11,16,East,2023-01-18 00:00:00
42676,57,31,22,12,North,2020-10-04 00:00:00
36440,110,28,22,20,West,2020-01-14 00:00:00
22753,39,37,22,21,West,2020-10-10 00:00:00
17558,114,39,11,14,East,2023-06-23 00:00:00
30889,43,25,11,16,North,2020-10-03 00:00:00
36270,86,39,11,14,South,2021-01-02 00:00:00
17004,40,24,22,20,North,2021-12-16 00:00:00
40704,20,21,22,14,East,2023-08-10 00:00:00
23992,9,29,22,16,North,2024-04-27 00:00:00
32354,29,24,11,16,East,2022-11-26 00:00:00
25068,27,34,22,11,North,2020-08-01 00:00:00
28435,71,36,22,11,North,2024-12-26 00:00:00
29099,33,17,22,18,South,2022-11-29 00:00:00
17499,92,36,22,22,East,2020-03-20 00:00:00
36080,30,40,22,18,South,2024-05-23 00:00:00
38176,12,20,11,11,West,2024-09-07 00:00:00
22238,80,25,22,11,East,2020-05-19 00:00:00
24674,111,15,11,19,East,2024-12-06 00:00:00
39879,35,44,22,14,North,2024-03-10 00:00:00
42611,20,42,11,11,North,2020-05-14 00:00:00
39697,47,39,22,21,West,2024-12-07 00:00:00
27466,27,30,22,14,East,2022-09-29 00:00:00
29544,73,42,11,15,South,2021-03-14 00:00:00
21665,72,23,22,16,South,2024-03-25 00:00:00
17436,90,21,22,21,North,2021-03-16 00:00:00
26340,8,21,11,11,West,2020-03-29 00:00:00
37463,115,15,11,13,South,2021-09-23 00:00:00
40406,113,31,22,13,East,2020-01-24 00:00:00
26448,39,21,11,17,East,2022-06-22 00:00:00
36207,9,44,11,16,West,2022-07-17 00:00:00
25969,46,27,22,18,West,2022-03-12 00:00:00
23177,35,38,22,17,South,2020-07-28 00:00:00
33652,68,31,11,14,East,2022-04-29 00:00:00
24397,65,22,22,12,West,2023-11-21 00:00:00
43795,42,21,22,19,East,2021-01-15 00:00:00
35440,31,37,22,14,West,2024-10-18 00:00:00
20829,19,18,22,12,East,2024-12-17 00:00:00
22665,45,34,11,19,North,2021-03-17 00:00:00
43440,43,17,22,22,East,2022-02-28 00:00:00
38391,18,19,22,11,West,2021-07-30 00:00:00
23697,62,42,22,11,South,2024-01-15 00:00:00
23886,86,30,22,18,West,2021-10-25 00:00:00
19086,57,29,22,11,West,2023-02-02 00:00:00
35244,94,27,22,15,West,2020-04-05 00:00:00
27852,35,16,11,18,North,2023-10-30 00:00:00
25662,98,29,11,20,West,2021-05-22 00:00:00
38978,29,21,22,14,East,2021-11-17 00:00:00
22814,14,34,22,21,West,2020-04-29 00:00:00
43899,24,32,22,12,North,2021-01-20 00:00:00
32541,27,40,22,19,East,2022-04-04 00:00:00
41019,80,21,11,21,North,2023-10-19 00:00:00
17470,60,26,22,12,North,2022-12-22 00:00:00
16252,107,20,11,21,East,2022-04-17 00:00:00
43236,119,26,22,11,South,2020-01-08 00:00:00
19460,66,38,11,15,West,2020-04-11 00:00:00
43294,64,27,22,18,South,2022-10-11 00:00:00
35322,70,27,22,14,East,2021-11-28 00:00:00
43715,107,42,11,16,South,2021-10-16 00:00:00
20360,14,26,11,13,South,2024-09-10 00:00:00
28345,84,26,22,19,East,2021-02-25 00:00:00
25888,32,29,22,15,South,2022-08-12 00:00:00
42693,81,15,22,21,West,2021-02-14 00:00:00
27137,116,24,11,18,West,2020-03-22 00:00:00
41438,81,41,22,12,North,2021-07-08 00:00:00
44084,45,26,11,20,East,2024-01-24 00:00:00
33127,77,42,11,15,West,2022-10-15 00:00:00
41111,113,27,22,14,West,2024-04-07 00:00:00
38295,36,19,11,18,West,2023-07-26 00:00:00
44169,92,44,11,14,South,2022-07-01 00:00:00
39778,63,15,11,11,North,2020-12-08 00:00:00
44565,29,30,11,21,South,2023-12-14 00:00:00
19235,80,43,11,17,North,2022-09-02 00:00:00
29549,21,17,22,18,South,2024-05-18 00:00:00
30244,11,24,22,14,West,2020-01-24 00:00:00
28189,46,20,22,11,East,2020-10-11 00:00:00
15974,77,27,11,14,North,2024-10-17 00:00:00
36277,94,35,22,14,West,2024-01-29 00:00:00
32360,93,30,22,15,North,2020-03-17 00:00:00
33384,56,27,11,22,North,2020-09-25 00:00:00
30418,99,30,22,19,South,2024-03-21 00:00:00
44816,96,31,11,11,North,2022-04-01 00:00:00
37197,84,40,22,20,West,2023-03-21 00:00:00
31828,20,31,22,15,South,2024-12-13 00:00:00
39731,86,33,22,13,South,2024-02-28 00:00:00
34881,58,43,11,20,East,2023-08-17 00:00:00
31944,5,32,22,15,North,2021-01-19 00:00:00
36590,102,18,22,21,South,2021-09-22 00:00:00
31788,78,29,22,13,South,2021-07-03 00:00:00
32860,92,17,22,13,East,2022-08-10 00:00:00
18112,82,28,22,12,West,2020-09-06 00:00:00
31376,30,43,22,21,South,2021-03-29 00:00:00
35193,22,32,22,16,East,2021-08-24 00:00:00
19337,85,18,22,22,North,2023-04-26 00:00:00
15019,53,29,11,18,North,2021-04-03 00:00:00
15383,111,22,22,13,South,2023-11-26 00:00:00
41907,90,19,22,17,South,2024-03-03 00:00:00
23662,89,29,22,11,South,2022-02-14 00:00:00
34562,68,38,11,17,East,2021-09-20 00:00:00
18250,54,21,22,14,East,2021-03-15 00:00:00
17796,71,24,11,13,North,2022-06-27 00:00:00
28963,26,15,11,20,South,2024-02-07 00:00:00
42853,58,31,22,13,West,2020-10-04 00:00:00
40716,91,23,11,19,North,2020-06-30 00:00:00
22754,87,23,11,22,East,2023-01-17 00:00:00
21454,57,35,11,18,South,2023-12-25 00:00:00
22385,110,37,11,18,South,2021-03-18 00:00:00
42768,58,40,22,20,West,2021-12-05 00:00:00
42620,112,22,22,18,North,2024-08-21 00:00:00
44476,73,29,22,18,North,2022-03-16 00:00:00
33776,87,45,22,12,North,2022-03-08 00:00:00
30274,78,30,11,19,West,2020-11-08 00:00:00
26319,44,37,11,20,North,2023-10-29 00:00:00
18537,57,17,22,14,East,2024-11-05 00:00:00
20876,66,23,22,20,West,2020-12-17 00:00:00
33341,30,24,11,19,West,2023-05-22 00:00:00
20241,72,42,22,14,West,2023-08-27 00:00:00
37782,112,26,11,11,North,2023-01-11 00:00:00
31565,116,44,11,16,South,2022-06-10 00:00:00
31983,118,24,11,16,East,2023-01-25 00:00:00
21090,111,30,22,21,East,2024-02-10 00:00:00
24619,109,23,11,20,West,2023-09-26 00:00:00
24314,66,44,22,22,North,2021-03-03 00:00:00
31365,37,37,11,20,South,2022-09-04 00:00:00
30575,60,25,11,16,South,2024-07-30 00:00:00
16528,39,44,22,14,West,2021-07-05 00:00:00
15140,111,35,11,13,West,2024-09-29 00:00:00
22292,48,39,22,15,East,2021-10-20 00:00:00
33565,54,30,22,15,West,2020-03-11 00:00:00
19000,112,38,22,18,North,2020-08-05 00:00:00
23473,18,41,22,19,East,2024-04-21 00:00:00
36621,69,42,22,16,South,2024-03-26 00:00:00
17890,95,38,11,22,West,2021-11-03 00:00:00
36568,51,20,11,12,North,2021-12-28 00:00:00
15339,49,38,11,22,South,2022-09-21 00:00:00
32718,37,17,11,12,South,2024-01-27 00:00:00
38704,58,28,11,12,West,2020-11-18 00:00:00
29864,35,23,22,19,South,2024-10-06 00:00:00
27814,54,43,11,22,North,2021-06-22 00:00:00
22023,30,30,11,19,West,2021-09-18 00:00:00
34822,114,24,22,12,East,2022-12-14 00:00:00
43566,103,23,11,20,North,2020-04-22 00:00:00
27915,30,19,22,11,East,2021-06-12 00:00:00
33281,27,30,11,11,South,2022-03-18 00:00:00
29256,111,19,11,18,South,2024-07-06 00:00:00
31402,67,41,11,21,North,2021-09-23 00:00:00
28455,38,34,11,17,North,2023-08-02 00:00:00
31835,46,38,22,22,South,2022-05-15 00:00:00
24921,107,20,22,16,North,2022-10-07 00:00:00
34087,5,42,22,14,South,2022-10-18 00:00:00
20033,64,28,11,19,West,2023-06-19 00:00:00
40294,113,32,22,13,South,2024-03-21 00:00:00
31140,41,43,11,20,North,2021-03-08 00:00:00
17026,37,43,22,14,West,2024-10-02 00:00:00
33349,72,21,22,18,West,2024-11-10 00:00:00
31463,53,28,11,12,North,2022-12-16 00:00:00
24783,60,15,22,20,East,2022-12-18 00:00:00
39146,30,25,11,11,South,2023-07-13 00:00:00
37296,79,15,22,13,West,2023-07-22 00:00:00
16655,6,36,11,14,South,2021-11-04 00:00:00
30034,24,45,11,13,East,2022-03-20 00:00:00
33451,64,38,22,20,West,2020-03-09 00:00:00
15375,42,17,22,14,West,2021-07-21 00:00:00
18874,119,26,22,22,East,2022-03-21 00:00:00
33264,80,39,11,13,West,2022-02-05 00:00:00
33601,113,16,11,13,West,2024-07-18 00:00:00
21396,58,30,11,18,West,2024-08-05 00:00:00
29912,75,16,11,11,South,2021-02-16 00:00:00
40989,116,36,22,19,West,2020-08-16 00:00:00
38285,90,42,22,13,North,2021-12-07 00:00:00
33096,78,32,22,20,South,2024-05-21 00:00:00
42607,104,23,22,17,North,2020-01-19 00:00:00
33486,100,19,11,17,East,2022-09-14 00:00:00
28875,58,22,11,12,West,2023-02-10 00:00:00
23648,73,25,11,11,West,2022-08-24 00:00:00
19434,64,38,11,16,South,2022-08-05 00:00:00
37339,120,41,22,20,East,2022-02-14 00:00:00
35836,114,23,11,13,East,2021-08-24 00:00:00
16559,69,41,11,12,North,2020-01-12 00:00:00
28793,43,38,22,16,South,2023-06-01 00:00:00
41789,34,18,11,11,West,2021-03-12 00:00:00
28003,60,29,11,18,East,2023-10-29 00:00:00
39591,75,43,11,20,West,2021-07-03 00:00:00
42132,68,39,22,21,West,2024-05-31 00:00:00
36686,40,34,11,19,South,2020-11-10 00:00:00
20102,73,31,22,21,South,2023-02-27 00:00:00
44736,94,20,11,22,West,2022-02-02 00:00:00
43408,63,31,22,18,North,2020-03-31 00:00:00
20402,23,26,11,17,West,2023-03-21 00:00:00
30677,105,40,11,14,East,2024-03-27 00:00:00
42974,95,25,11,12,South,2021-04-12 00:00:00
22940,66,42,22,17,North,2021-01-11 00:00:00
26339,44,43,11,13,West,2023-03-01 00:00:00
38436,75,37,11,12,West,2020-08-10 00:00:00
28644,36,23,22,22,South,2022-08-18 00:00:00
38136,67,39,11,14,North,2020-01-06 00:00:00
21097,101,19,11,18,South,2024-11-27 00:00:00
27800,99,37,22,22,South,2020-11-15 00:00:00
43676,92,18,11,19,North,2020-09-24 00:00:00
31256,27,24,11,11,East,2023-10-05 00:00:00
43988,69,21,22,13,West,2024-02-26 00:00:00
17562,109,26,11,11,East,2022-01-22 00:00:00
30946,70,21,11,17,North,2022-10-28 00:00:00
42341,50,18,22,19,East,2020-02-18 00:00:00
33530,31,28,22,19,North,2024-09-20 00:00:00
26961,71,16,11,19,South,2020-06-11 00:00:00
27184,107,43,22,16,South,2020-01-13 00:00:00
17600,36,20,22,15,South,2024-07-01 00:00:00
